,Product,Type,Release Date,Process Size (nm),TDP (W),Die Size (mm^2),Transistors (million),Freq (MHz),Foundry,Vendor,FP16 GFLOPS,FP32 GFLOPS,FP64 GFLOPS
4421,Intel i815 Graphics,GPU,2000/1/1,150,,,,133,Intel,Intel,,,
4357,NVIDIA Vanta LT,GPU,2000/3/1,250,,90,15,105,TSMC,NVIDIA,,,
3074,Sony Playstation 2 GPU 250nm,GPU,2000/3/4,250,79,279,54,147,Sony,Other,,,
3500,ATI Radeon 7200 64 MB,GPU,2000/4/1,180,23,111,30,166,TSMC,ATI,,,
3721,ATI Radeon DDR,GPU,2000/4/1,180,23,115,30,166,TSMC,ATI,,,
4246,ATI Radeon 7200,GPU,2000/4/1,180,23,111,30,166,TSMC,ATI,,,
4061,NVIDIA GeForce2 GTS PRO,GPU,2000/4/26,150,,88,25,200,TSMC,NVIDIA,,,
4305,NVIDIA GeForce2 GTS,GPU,2000/4/26,150,,88,25,200,TSMC,NVIDIA,,,
2472,ATI Radeon DDR MAXX,GPU,2000/6/1,180,,115,30,148,TSMC,ATI,,,
2516,ATI Radeon SDR PCI,GPU,2000/6/1,180,23,115,30,166,TSMC,ATI,,,
3164,ATI Fire GL2,GPU,2000/6/1,,,156,,120,IBM,ATI,,,
3190,ATI Radeon 7200,GPU,2000/6/1,180,23,111,30,143,TSMC,ATI,,,
3486,ATI Radeon SDR,GPU,2000/6/1,180,23,115,30,166,TSMC,ATI,,,
3720,ATI Fire GL3,GPU,2000/6/1,,,156,,120,IBM,ATI,,,
170,AMD Athlon 700,CPU,2000/6/5,180,40,120,37,700,Unknown,AMD,,,
303,AMD Athlon 800,CPU,2000/6/5,180,45,120,37,800,Unknown,AMD,,,
376,AMD Athlon 900,CPU,2000/6/5,180,50,120,37,900,Unknown,AMD,,,
434,AMD Athlon 750,CPU,2000/6/5,180,43,120,37,750,Unknown,AMD,,,
621,AMD Athlon 950,CPU,2000/6/5,180,52,120,37,950,Unknown,AMD,,,
1056,AMD Athlon 850,CPU,2000/6/5,180,47,120,37,850,Unknown,AMD,,,
1388,AMD Athlon 600,CPU,2000/6/5,180,38,120,37,600,Unknown,AMD,,,
1961,AMD Athlon 1000,CPU,2000/6/5,180,54,120,37,1000,Unknown,AMD,,,
2008,AMD Athlon 650,CPU,2000/6/5,180,38,120,37,650,Unknown,AMD,,,
2466,3dfx Voodoo5 5500 PCI,GPU,2000/6/22,250,30,112,14,166,TSMC,Other,,,
4279,3dfx Voodoo5 5500 AGP,GPU,2000/6/22,250,30,112,14,166,TSMC,Other,,,
2951,NVIDIA GeForce2 MX DH Pro TV,GPU,2000/6/28,180,,64,20,175,TSMC,NVIDIA,,,
2973,NVIDIA GeForce2 MX,GPU,2000/6/28,180,,64,20,175,TSMC,NVIDIA,,,
3007,NVIDIA GeForce2 MX PCI,GPU,2000/6/28,180,,64,20,175,TSMC,NVIDIA,,,
4317,NVIDIA GeForce2 MX DH Pro TV PCI,GPU,2000/6/28,180,,64,20,175,TSMC,NVIDIA,,,
2307,NVIDIA Quadro2 MXR Low Profile,GPU,2000/7/25,180,,64,20,200,TSMC,NVIDIA,,,
2705,NVIDIA Quadro2 MXR,GPU,2000/7/25,180,,64,20,200,TSMC,NVIDIA,,,
1311,Intel Pentium III 1133,CPU,2000/7/31,180,29,80,44,1133,Intel,Intel,,,
3682,ATI All-In-Wonder Radeon 7200,GPU,2000/7/31,180,,111,30,166,TSMC,ATI,,,
22,AMD Athlon 1100,CPU,2000/8/14,180,60,120,37,1100,Unknown,AMD,,,
3096,NVIDIA GeForce2 Ultra,GPU,2000/8/14,150,,88,25,250,TSMC,NVIDIA,,,
2409,ATI GameCube GPU,GPU,2000/8/24,180,45,120,51,162,NEC,ATI,,,
3502,3dfx Voodoo4 4500 PCI,GPU,2000/10/13,250,15,112,14,166,TSMC,Other,,,
4187,3dfx Voodoo4 4500 AGP,GPU,2000/10/13,250,15,112,14,166,TSMC,Other,,,
407,AMD Athlon 1200,CPU,2000/10/17,180,66,120,37,1200,Unknown,AMD,,,
436,AMD Athlon 1200,CPU,2000/10/31,180,66,120,37,1200,Unknown,AMD,,,
1379,AMD Athlon 1133,CPU,2000/10/31,180,63,120,37,1133,Unknown,AMD,,,
2060,AMD Athlon 1000,CPU,2000/10/31,180,54,120,37,1000,Unknown,AMD,,,
3019,NVIDIA GeForce2 Go,GPU,2000/11/11,180,2,64,20,143,TSMC,NVIDIA,,,
3101,NVIDIA GeForce2 Go,GPU,2000/11/11,180,2,64,20,143,TSMC,NVIDIA,,,
998,Intel Pentium 4 1.4,CPU,2000/11/20,180,55,217,42,1400,Intel,Intel,,,
1596,Intel Pentium 4 1.5,CPU,2000/11/20,180,58,217,42,1500,Intel,Intel,,,
3935,NVIDIA GeForce2 PRO,GPU,2000/12/5,150,,88,25,200,TSMC,NVIDIA,,,
24,AMD Athlon 64 3500+,CPU,2001/1/1,90,67,115,105,2200,Unknown,AMD,,,
189,Intel Pentium 4 HT 515,CPU,2001/1/1,90,84,109,125,2933,Intel,Intel,,,
409,AMD Athlon XP-M 2200+,CPU,2001/1/1,130,45,101,63,1667,Unknown,AMD,,,
424,AMD Athlon 64 3200+,CPU,2001/1/1,130,89,193,105,2200,Unknown,AMD,,,
430,Intel Pentium 4 2.0,CPU,2001/1/1,130,110,146,55,2000,Intel,Intel,,,
443,AMD Athlon XP 2800+ DTR,CPU,2001/1/1,130,68,101,63,2083,Unknown,AMD,,,
473,AMD Athlon XP 3000+,CPU,2001/1/1,130,68,101,63,2100,Unknown,AMD,,,
476,AMD Sempron 3000+,CPU,2001/1/1,130,25,144,69,1800,Unknown,AMD,,,
507,AMD Athlon XP-M 2000+,CPU,2001/1/1,130,45,101,63,1533,Unknown,AMD,,,
519,Intel Pentium 4 HT 524,CPU,2001/1/1,90,84,109,125,3060,Intel,Intel,,,
543,AMD Athlon XP-M 3000+,CPU,2001/1/1,130,45,101,63,2200,Unknown,AMD,,,
545,AMD Sempron 2600+,CPU,2001/1/1,130,62,101,63,1833,Unknown,AMD,,,
715,AMD Athlon XP 2600+,CPU,2001/1/1,130,68,101,63,1917,Unknown,AMD,,,
720,AMD Athlon XP 1700+,CPU,2001/1/1,130,50,80,37,1467,Unknown,AMD,,,
730,AMD Athlon 64 3400+,CPU,2001/1/1,90,67,83,69,2200,Unknown,AMD,,,
881,Intel Pentium 4 HT 516,CPU,2001/1/1,90,84,109,125,2933,Intel,Intel,,,
898,AMD Athlon XP 1800+,CPU,2001/1/1,130,51,80,37,1533,Unknown,AMD,,,
909,AMD Athlon XP 2800+,CPU,2001/1/1,130,68,101,63,2083,Unknown,AMD,,,
912,AMD Athlon 64 3400+,CPU,2001/1/1,130,89,193,105,2400,Unknown,AMD,,,
952,AMD Athlon 64 3000+,CPU,2001/1/1,90,51,84,69,2000,Unknown,AMD,,,
1009,AMD Sempron 2800+,CPU,2001/1/1,130,25,144,69,1600,Unknown,AMD,,,
1014,AMD Athlon XP-M 2600+,CPU,2001/1/1,130,45,101,63,2000,Unknown,AMD,,,
1022,Intel Pentium 4 HT 516,CPU,2001/1/1,90,84,109,125,2933,Intel,Intel,,,
1048,AMD Athlon XP-M 2500+,CPU,2001/1/1,130,45,101,63,1862,Unknown,AMD,,,
1092,Intel Pentium 4 HT 517,CPU,2001/1/1,90,84,109,125,2933,Intel,Intel,,,
1100,AMD Athlon XP 1600+,CPU,2001/1/1,130,49,80,37,1400,Unknown,AMD,,,
1147,AMD Sempron 2600+,CPU,2001/1/1,130,25,144,69,1600,Unknown,AMD,,,
1206,AMD Sempron 2200+,CPU,2001/1/1,130,62,101,63,1500,Unknown,AMD,,,
1225,AMD Athlon XP 1700+,CPU,2001/1/1,130,50,80,37,1467,Unknown,AMD,,,
1245,Intel Pentium 4 HT 517,CPU,2001/1/1,90,84,109,125,2933,Intel,Intel,,,
1262,AMD Athlon 64 3700+,CPU,2001/1/1,90,89,199,233,2200,Unknown,AMD,,,
1284,AMD Athlon 64 3400+,CPU,2001/1/1,90,67,84,69,2400,Unknown,AMD,,,
1325,AMD Athlon 64 X2 3600+,CPU,2001/1/1,90,89,156,154,2000,Unknown,AMD,,,
1335,AMD Sempron 2300+,CPU,2001/1/1,130,62,101,63,1583,Unknown,AMD,,,
1348,AMD Athlon 64 4000+,CPU,2001/1/1,90,89,199,233,2400,Unknown,AMD,,,
1356,AMD Athlon 64 3000+,CPU,2001/1/1,90,51,84,69,2000,Unknown,AMD,,,
1454,AMD Athlon XP-M 2400+,CPU,2001/1/1,130,45,101,63,1800,Unknown,AMD,,,
1473,AMD Athlon XP 2200+,CPU,2001/1/1,130,63,80,37,1800,Unknown,AMD,,,
1511,AMD Sempron 2400+,CPU,2001/1/1,130,62,101,63,1667,Unknown,AMD,,,
1570,AMD Sempron 2500+,CPU,2001/1/1,130,62,101,63,1750,Unknown,AMD,,,
1703,Intel Pentium 4 HT 524,CPU,2001/1/1,90,84,109,125,3060,Intel,Intel,,,
1735,AMD Sempron 3100+,CPU,2001/1/1,130,25,144,69,1800,Unknown,AMD,,,
1751,AMD Athlon XP 1900+,CPU,2001/1/1,130,53,80,37,1600,Unknown,AMD,,,
1768,AMD Athlon XP 3000+,CPU,2001/1/1,130,68,101,63,2167,Unknown,AMD,,,
1818,AMD Sempron 2800+,CPU,2001/1/1,130,62,101,63,2000,Unknown,AMD,,,
1845,Intel Pentium 4 HT 515,CPU,2001/1/1,90,84,109,125,2933,Intel,Intel,,,
1881,AMD Sempron 3300+,CPU,2001/1/1,130,62,101,63,2200,Unknown,AMD,,,
1932,AMD Athlon 64 3200+,CPU,2001/1/1,90,59,84,69,2200,Unknown,AMD,,,
2002,AMD Athlon XP 3200+,CPU,2001/1/1,130,77,101,63,2200,Unknown,AMD,,,
2086,AMD Athlon XP 2100+,CPU,2001/1/1,130,62,80,37,1733,Unknown,AMD,,,
2182,AMD Athlon XP 2600+ DTR,CPU,2001/1/1,130,68,101,63,1917,Unknown,AMD,,,
2709,Matrox Parhelia HR256,GPU,2001/1/1,150,,174,80,200,UMC,Other,,,
3056,Matrox Parhelia Precision SDT,GPU,2001/1/1,150,,174,80,200,UMC,Other,,,
3290,Matrox Parhelia PCI,GPU,2001/1/1,150,,174,80,200,UMC,Other,,,
3546,Matrox Parhelia DL256,GPU,2001/1/1,150,,174,80,200,UMC,Other,,,
3736,Intel i830M Graphics,GPU,2001/1/1,150,,,,166,Intel,Intel,,,
4138,Matrox Parhelia Precision SGT,GPU,2001/1/1,150,,174,80,200,UMC,Other,,,
1914,Intel Pentium 4 1.3,CPU,2001/1/3,180,52,217,42,1300,Intel,Intel,,,
2866,NVIDIA GeForce2 Go 200,GPU,2001/2/6,180,2,64,20,143,TSMC,NVIDIA,,,
3480,NVIDIA GeForce2 Go 100,GPU,2001/2/6,180,2,64,20,125,TSMC,NVIDIA,,,
2245,ATI Radeon 7000,GPU,2001/2/19,180,23,80,30,183,TSMC,ATI,,,
3378,ATI Radeon VE,GPU,2001/2/19,180,23,115,30,183,TSMC,ATI,,,
4041,ATI Radeon VE PCI,GPU,2001/2/19,180,23,115,30,183,TSMC,ATI,,,
4460,ATI Radeon 7000 PCI,GPU,2001/2/19,180,23,80,30,133,TSMC,ATI,,,
3358,NVIDIA GeForce3,GPU,2001/2/27,150,,128,57,200,TSMC,NVIDIA,,,
2698,NVIDIA GeForce2 MX 200 PCI,GPU,2001/3/3,180,,64,20,175,TSMC,NVIDIA,,,
3146,NVIDIA GeForce2 MX 200 LP,GPU,2001/3/3,180,,64,20,175,TSMC,NVIDIA,,,
3669,NVIDIA GeForce2 MX 200,GPU,2001/3/3,180,,64,20,175,TSMC,NVIDIA,,,
4604,NVIDIA GeForce2 MX 400 PCI,GPU,2001/3/3,180,,64,20,200,TSMC,NVIDIA,,,
4743,NVIDIA GeForce2 MX 400,GPU,2001/3/3,180,,64,20,200,TSMC,NVIDIA,,,
3518,ATI Fire GL4,GPU,2001/3/14,,,156,,150,IBM,ATI,,,
556,AMD Athlon 1300,CPU,2001/3/21,180,68,120,37,1300,Unknown,AMD,,,
661,AMD Athlon 1333,CPU,2001/3/21,180,70,120,37,1333,Unknown,AMD,,,
2412,NVIDIA Quadro2 Pro,GPU,2001/3/22,150,,88,25,200,TSMC,NVIDIA,,,
2317,Sony Playstation 2 GPU 180nm,GPU,2001/4/18,180,79,188,54,147,Sony,Other,,,
2118,Intel Pentium 4 1.7,CPU,2001/4/23,180,64,217,42,1700,Intel,Intel,,,
4473,ATI Radeon LE,GPU,2001/5/1,180,,115,30,148,TSMC,ATI,,,
4677,NVIDIA Quadro DCC,GPU,2001/5/14,150,,128,57,200,TSMC,NVIDIA,,,
43,Intel Pentium III  866,CPU,2001/6/1,180,38,80,44,866,Intel,Intel,,,
397,Intel Pentium III 1000,CPU,2001/6/1,180,29,80,44,1000,Intel,Intel,,,
408,Intel Pentium III  800,CPU,2001/6/1,180,38,80,44,800,Intel,Intel,,,
579,Intel Pentium III  933,CPU,2001/6/1,180,27,80,44,933,Intel,Intel,,,
886,Intel Pentium III 1133,CPU,2001/6/1,180,29,80,44,1133,Intel,Intel,,,
994,Intel Pentium III 1133S,CPU,2001/6/1,130,29,80,44,1133,Intel,Intel,,,
1630,Intel Pentium III 1000S,CPU,2001/6/1,130,30,80,44,1000,Intel,Intel,,,
2428,NVIDIA GeForce2 MX + nForce 220,GPU,2001/6/4,180,,65,20,175,Unknown,NVIDIA,,,
4092,NVIDIA GeForce2 MX + nForce 420,GPU,2001/6/4,180,,65,20,175,Unknown,NVIDIA,,,
822,AMD Athlon 1400,CPU,2001/6/6,180,72,120,37,1400,Unknown,AMD,,,
1127,AMD Athlon 1400,CPU,2001/6/6,180,72,120,37,1400,Unknown,AMD,,,
29,Intel Pentium III 1266S,CPU,2001/7/1,130,30,80,44,1266,Intel,Intel,,,
1700,Intel Pentium III 1000,CPU,2001/7/1,130,30,80,44,1000,Intel,Intel,,,
1734,Intel Pentium III 1200,CPU,2001/7/1,130,30,80,44,1200,Intel,Intel,,,
1799,Intel Pentium III 1133,CPU,2001/7/1,130,29,80,44,1133,Intel,Intel,,,
477,Intel Pentium 4 1.8A,CPU,2001/7/2,180,67,217,42,1800,Intel,Intel,,,
1716,Intel Pentium 4 1.6,CPU,2001/7/2,180,61,217,42,1600,Intel,Intel,,,
2266,ATI Radeon DDR VIVO SE,GPU,2001/8/14,180,,115,30,187,TSMC,ATI,,,
2351,ATI FireGL 8800,GPU,2001/8/14,150,,120,60,300,TSMC,ATI,,,
2996,ATI Radeon DDR VIVO OEM,GPU,2001/8/14,180,,115,30,166,TSMC,ATI,,,
3418,ATI Radeon 8500,GPU,2001/8/14,150,23,120,60,275,TSMC,ATI,,,
3429,ATI Radeon 7500,GPU,2001/8/14,150,23,83,60,290,TSMC,ATI,,,
3534,ATI Radeon 7500 LE,GPU,2001/8/14,150,23,83,60,250,TSMC,ATI,,,
3664,NVIDIA Quadro2 Go,GPU,2001/8/14,180,,64,20,143,TSMC,NVIDIA,,,
3872,ATI Radeon DDR VIVO,GPU,2001/8/14,180,,115,30,183,TSMC,ATI,,,
4193,ATI FireGL 8700,GPU,2001/8/14,150,,120,60,250,TSMC,ATI,,,
144,Intel Pentium 4 1.80,CPU,2001/8/27,180,67,217,42,1800,Intel,Intel,,,
295,Intel Pentium 4 1.9,CPU,2001/8/27,180,69,217,42,1900,Intel,Intel,,,
571,Intel Pentium 4 1.9,CPU,2001/8/27,180,69,217,42,1900,Intel,Intel,,,
707,Intel Pentium 4 1.4,CPU,2001/8/27,180,55,217,42,1400,Intel,Intel,,,
977,Intel Pentium 4 1.6,CPU,2001/8/27,180,61,217,42,1600,Intel,Intel,,,
1600,Intel Pentium 4 2.0,CPU,2001/8/27,180,72,217,42,2000,Intel,Intel,,,
1863,Intel Pentium 4 2.0,CPU,2001/8/27,180,72,217,42,2000,Intel,Intel,,,
1933,Intel Pentium 4 1.5,CPU,2001/8/27,180,58,217,42,1500,Intel,Intel,,,
2031,Intel Pentium 4 1.7,CPU,2001/8/27,180,64,217,42,1700,Intel,Intel,,,
3242,ATI All-In-Wonder Radeon 8500DV,GPU,2001/8/30,150,,120,60,230,TSMC,ATI,,,
4288,ATI Mobility FireGL 7800,GPU,2001/9/29,150,27,68,60,280,TSMC,ATI,,,
3446,NVIDIA GeForce2 Ti,GPU,2001/10/1,150,,88,25,250,TSMC,NVIDIA,,,
3553,NVIDIA GeForce3 Ti200,GPU,2001/10/1,150,,128,57,175,TSMC,NVIDIA,,,
4262,NVIDIA GeForce3 Ti500,GPU,2001/10/1,150,,128,57,240,TSMC,NVIDIA,,,
1646,AMD Athlon XP 1800+,CPU,2001/10/9,180,66,150,37,1533,Unknown,AMD,,,
1709,AMD Athlon XP 1600+,CPU,2001/10/9,180,63,150,37,1400,Unknown,AMD,,,
1882,AMD Athlon XP 1500+,CPU,2001/10/9,180,60,150,63,1333,Unknown,AMD,,,
2021,AMD Athlon XP 1700+,CPU,2001/10/9,180,64,150,37,1467,Unknown,AMD,,,
120,AMD Athlon XP 1900+,CPU,2001/11/5,180,68,150,37,1600,Unknown,AMD,,,
3152,ATI All-In-Wonder Radeon 8500,GPU,2001/11/14,150,,120,60,275,TSMC,ATI,,,
3311,NVIDIA Xbox GPU,GPU,2001/11/15,150,,142,57,233,TSMC,NVIDIA,,,
2794,Matrox Millennium G550 PCIe,GPU,2001/11/26,180,,,10,125,UMC,Other,,,
4185,Matrox Millennium G550,GPU,2001/11/26,180,,,10,125,UMC,Other,,,
121,Intel Pentium III 1400,CPU,2001/12/1,130,31,80,44,1400,Intel,Intel,,,
1371,Intel Pentium III 1333,CPU,2001/12/1,130,30,80,44,1333,Intel,Intel,,,
2995,ATI Mobility Radeon 7500,GPU,2001/12/1,150,27,68,60,280,TSMC,ATI,,,
3376,ATI Mobility Radeon 7500C,GPU,2001/12/1,150,27,68,60,230,TSMC,ATI,,,
3874,ATI Mobility Radeon 7500,GPU,2001/12/1,150,27,68,60,230,TSMC,ATI,,,
4035,ATI Mobility Radeon-P,GPU,2001/12/1,180,,115,30,166,TSMC,ATI,,,
4081,ATI Mobility Radeon,GPU,2001/12/1,180,,115,30,144,TSMC,ATI,,,
4627,ATI Mobility Radeon,GPU,2001/12/1,180,,115,30,144,TSMC,ATI,,,
3417,Intel Extreme Graphics,GPU,2002/1/1,150,,,,200,Intel,Intel,,,
3507,Intel i830MG Graphics,GPU,2002/1/1,150,,,,100,Intel,Intel,,,
4252,ATI Mobility FireGL 9000,GPU,2002/1/1,150,,81,36,250,UMC,ATI,,,
3288,Matrox Millenium P650,GPU,2002/1/2,150,,,80,190,UMC,Other,,,
3915,Matrox Millenium P750,GPU,2002/1/2,150,,,80,250,UMC,Other,,,
226,Intel Pentium 4 2.0,CPU,2002/1/7,130,92,146,125,2000,Intel,Intel,,,
1032,AMD Athlon XP 2000+,CPU,2002/1/7,180,70,150,37,1667,Unknown,AMD,,,
1859,Intel Pentium 4 2.2,CPU,2002/1/7,130,92,146,55,2200,Intel,Intel,,,
1979,Intel Pentium 4 2.26,CPU,2002/1/7,130,110,146,55,2261,Intel,Intel,,,
67,Intel Pentium III 1400S,CPU,2002/1/8,130,32,80,44,1400,Intel,Intel,,,
2728,ATI Radeon 8500 LE,GPU,2002/2/4,150,23,120,60,250,TSMC,ATI,,,
2311,NVIDIA GeForce4 MX 440-SE,GPU,2002/2/6,150,,65,29,250,TSMC,NVIDIA,,,
2339,NVIDIA GeForce4 Ti 4200-8X,GPU,2002/2/6,150,,101,36,250,TSMC,NVIDIA,,,
2615,NVIDIA GeForce4 MX 420 PCI,GPU,2002/2/6,150,,65,29,250,TSMC,NVIDIA,,,
2947,NVIDIA GeForce4 MX 440-SE,GPU,2002/2/6,150,,65,29,250,TSMC,NVIDIA,,,
3349,NVIDIA GeForce4 440 Go,GPU,2002/2/6,150,,65,29,220,TSMC,NVIDIA,,,
3510,NVIDIA GeForce4 MX 460,GPU,2002/2/6,150,,65,29,300,TSMC,NVIDIA,,,
3531,NVIDIA GeForce4 MX 420,GPU,2002/2/6,150,,65,29,250,TSMC,NVIDIA,,,
3647,NVIDIA GeForce4 Ti 4200,GPU,2002/2/6,150,,142,63,250,TSMC,NVIDIA,,,
3928,NVIDIA GeForce4 MX 440,GPU,2002/2/6,150,,65,29,275,TSMC,NVIDIA,,,
4017,NVIDIA GeForce4 410 Go,GPU,2002/2/6,150,,65,29,200,TSMC,NVIDIA,,,
4079,NVIDIA GeForce4 Ti 4200,GPU,2002/2/6,150,,142,63,250,TSMC,NVIDIA,,,
4324,NVIDIA GeForce4 Ti 4600,GPU,2002/2/6,150,,142,63,300,TSMC,NVIDIA,,,
4332,NVIDIA GeForce4 MX 440-SE,GPU,2002/2/6,150,,65,29,250,TSMC,NVIDIA,,,
4458,NVIDIA GeForce4 Ti 4400,GPU,2002/2/6,150,,142,63,275,TSMC,NVIDIA,,,
4607,NVIDIA GeForce4 420 Go,GPU,2002/2/6,150,,65,29,200,TSMC,NVIDIA,,,
4618,NVIDIA GeForce4 Ti 4200-8X,GPU,2002/2/6,150,,101,36,250,TSMC,NVIDIA,,,
4638,NVIDIA GeForce4 MX 440 Mac Edition,GPU,2002/2/6,150,,65,29,275,TSMC,NVIDIA,,,
2225,NVIDIA Quadro4 900 XGL,GPU,2002/2/19,150,,142,63,300,TSMC,NVIDIA,,,
2403,NVIDIA Quadro4 550 XGL,GPU,2002/2/19,150,,65,29,270,TSMC,NVIDIA,,,
3011,NVIDIA Quadro4 750 XGL,GPU,2002/2/19,150,,142,63,275,TSMC,NVIDIA,,,
3277,NVIDIA Quadro4 500 XGL,GPU,2002/2/19,150,,65,29,250,TSMC,NVIDIA,,,
4575,NVIDIA Quadro4 700 XGL,GPU,2002/2/19,150,,142,63,275,TSMC,NVIDIA,,,
470,Intel Xeon 2.0,CPU,2002/2/25,130,89,217,55,2000,Intel,Intel,,,
2413,NVIDIA GeForce4 448 Go,GPU,2002/3/1,150,,65,29,200,TSMC,NVIDIA,,,
3533,NVIDIA GeForce4 488 Go,GPU,2002/3/1,150,,65,29,300,TSMC,NVIDIA,,,
522,Intel Pentium 4-M 1.60,CPU,2002/3/4,130,30,131,55,1600,Intel,Intel,,,
767,Intel Pentium 4-M 1.70,CPU,2002/3/4,130,30,131,55,1700,Intel,Intel,,,
1017,AMD Athlon XP 2100+,CPU,2002/3/13,180,72,150,37,1733,Unknown,AMD,,,
1293,Intel Pentium 4 2.4,CPU,2002/4/2,130,110,146,55,2400,Intel,Intel,,,
2439,ATI Radeon 7500 Mac Edition,GPU,2002/4/16,150,23,83,60,260,TSMC,ATI,,,
2941,ATI All-In-Wonder Radeon 7500 VE,GPU,2002/4/16,150,,83,60,260,TSMC,ATI,,,
4780,ATI All-In-Wonder Radeon 7500,GPU,2002/4/16,150,,83,60,260,TSMC,ATI,,,
410,Intel Pentium 4-M 1.40,CPU,2002/4/23,130,21,131,55,1400,Intel,Intel,,,
669,Intel Pentium 4-M 1.50,CPU,2002/4/23,130,26,131,55,1500,Intel,Intel,,,
1753,Intel Xeon 2.4,CPU,2002/4/23,130,89,217,55,2394,Intel,Intel,,,
2035,Intel Pentium 4-M 1.80,CPU,2002/4/23,130,30,131,55,1800,Intel,Intel,,,
3656,NVIDIA Quadro4 500 Go GL,GPU,2002/4/23,150,,65,29,220,TSMC,NVIDIA,,,
3155,ATI Radeon IGP 330M,GPU,2002/5/1,180,,73,30,183,Unknown,ATI,,,
148,Intel Pentium 4 2.53,CPU,2002/5/6,130,110,146,55,2527,Intel,Intel,,,
505,Intel Pentium 4 2.4,CPU,2002/5/6,130,92,146,55,2400,Intel,Intel,,,
127,AMD Athlon XP 2200+,CPU,2002/6/10,130,68,80,37,1800,Unknown,AMD,,,
574,AMD Athlon XP 1800+,CPU,2002/6/10,130,51,80,37,1533,Unknown,AMD,,,
796,AMD Athlon XP 2000+,CPU,2002/6/10,130,60,80,37,1667,Unknown,AMD,,,
1787,AMD Athlon XP 2000+,CPU,2002/6/10,130,60,80,37,1667,Unknown,AMD,,,
2662,Matrox Millennium G450 x2 MMS,GPU,2002/6/19,180,,,10,125,UMC,Other,,,
4842,Matrox Millennium G450 x4 MMS,GPU,2002/6/19,180,,,10,125,UMC,Other,,,
162,Intel Pentium 4-M 2.00,CPU,2002/6/24,130,32,131,55,2000,Intel,Intel,,,
595,Intel Pentium 4-M 1.90,CPU,2002/6/24,130,32,131,55,1900,Intel,Intel,,,
2193,Matrox Parhelia 128 MB,GPU,2002/6/25,150,,174,80,200,UMC,Other,,,
3340,Matrox Parhelia 128 MB,GPU,2002/6/25,150,,174,80,220,UMC,Other,,,
4241,Matrox Parhelia 256 MB,GPU,2002/6/25,150,,174,80,200,UMC,Other,,,
2230,ATI All-In-Wonder 9500,GPU,2002/7/1,150,,215,110,277,TSMC,ATI,,,
2302,ATI Radeon 9700 PRO,GPU,2002/7/1,150,,215,110,325,TSMC,ATI,,,
2644,ATI Radeon 9700 PRO X4,GPU,2002/7/1,150,,215,110,325,TSMC,ATI,,,
3264,ATI Radeon 9000,GPU,2002/7/1,150,28,97,36,250,TSMC,ATI,,,
3381,ATI Radeon 9700,GPU,2002/7/1,150,37,215,110,275,TSMC,ATI,,,
3485,ATI FireGL 9700 X1-256p,GPU,2002/7/1,150,37,215,110,324,TSMC,ATI,,,
4247,ATI FireGL 9700 X1-256,GPU,2002/7/1,150,37,215,110,325,TSMC,ATI,,,
4614,ATI FireGL 9700 X1-128,GPU,2002/7/1,150,,215,110,325,TSMC,ATI,,,
4784,ATI Radeon 9000 LE,GPU,2002/7/1,150,28,97,36,250,TSMC,ATI,,,
3091,ATI Radeon 9000 PRO,GPU,2002/7/18,150,28,97,36,275,TSMC,ATI,,,
462,AMD Athlon XP 2400+,CPU,2002/8/21,130,68,80,63,2000,Unknown,AMD,,,
905,AMD Athlon XP 2600+,CPU,2002/8/21,130,68,80,37,2083,Unknown,AMD,,,
1581,AMD Athlon XP 2400+,CPU,2002/8/21,130,65,80,37,2000,Unknown,AMD,,,
289,Intel Pentium 4 2.80,CPU,2002/8/25,130,110,146,55,2793,Intel,Intel,,,
1509,Intel Pentium 4 2.60,CPU,2002/8/25,130,92,146,55,2600,Intel,Intel,,,
2057,Intel Pentium 4 2.66,CPU,2002/8/25,130,110,146,55,2660,Intel,Intel,,,
3191,ATI Mobility Radeon 9000,GPU,2002/9/1,150,,81,36,240,UMC,ATI,,,
3196,ATI Mobility Radeon 9000,GPU,2002/9/1,150,,81,36,240,UMC,ATI,,,
3440,ATI Mobility Radeon 9000,GPU,2002/9/1,150,,81,36,240,UMC,ATI,,,
1579,Intel Xeon 2.8,CPU,2002/9/11,130,89,217,55,2790,Intel,Intel,,,
1534,Intel Pentium 4-M 2.20,CPU,2002/9/16,130,35,131,55,2200,Intel,Intel,,,
941,Intel Celeron 2.0,CPU,2002/9/18,130,73,146,55,2000,Intel,Intel,,,
1182,Intel Celeron 2.0,CPU,2002/9/18,130,73,146,55,2000,Intel,Intel,,,
2275,NVIDIA GeForce4 MX 440-8x,GPU,2002/9/25,150,,65,29,275,TSMC,NVIDIA,,,
3856,NVIDIA GeForce4 MX 440-8x,GPU,2002/9/25,150,,65,29,275,TSMC,NVIDIA,,,
100,AMD Athlon XP 2600+,CPU,2002/10/1,130,68,80,37,2133,Unknown,AMD,,,
2066,AMD Athlon XP 2800+,CPU,2002/10/1,130,74,80,37,2250,Unknown,AMD,,,
2084,AMD Athlon XP 2700+,CPU,2002/10/1,130,68,80,37,2167,Unknown,AMD,,,
3455,ATI FireGL 9500 Z1-128,GPU,2002/10/1,150,,215,110,325,TSMC,ATI,,,
3844,NVIDIA GeForce4 MX + nForce2,GPU,2002/10/1,150,,65,29,200,Unknown,NVIDIA,,,
